I want caffeine,Yes
I can't handle caffeine,No
I have to work till midnight,Yes
I can't function well without caffeine,Yes
I function well in the morning,Yes
I need a moring drink,Yes
I want a cup of joe,Yes
I am allgeric to caffeine,No
I hate coffee,No
Coffee smells good but I don't like it,No
I don't like brewed drinks like coffee,No
I want decaf,No
I want Non-caffeinated drinks,No
I do Not want caffeine during the afterNoon,No
I would like an afterNoon drink,No
I want a evening drink,Yes
I am caffeine tolerant,Yes
I need something to keep me awake,Yes
I am really tired,Yes
I want to get a good sleep,No
