I want a Hot drink,Hot
"It Cold outside, I need to warm up",Hot
It early morning and its Cold,Hot
Its winter and I need something to drink,Hot
"Its summer, its too Hot outside",Cold
I am sweating after working out,Cold
It is Hot outside,Cold
Is the air conditioning on?,Cold
Its windy and cloudy outside,Hot
"I just exercised, I need somthing to drink",Cold
I want caffeine but its Hot outside,Cold
Its Cold in the evening,Hot
I am exhausted ,Cold
Its raining outside,Hot
I am thirsty,Cold
I would like some alcohol,Cold
This heat wave is killing me,Cold
This storm is killing me,Hot
I am at the beach,Cold
I am feeling under the weather,Hot
